Manufacturer,Title (AKA -combo_field),sku (AKA - Model Name),list_price,sale_price,Product Alert (currently called Short Description),Product Description,features,specifications,What's in the box,call_for_sale_quote,manufacturer_id,manufacturer model id,Product number 2014
Sony Electronics Inc,Sony BRCZ700 HD 1/4” 3CMOS P/T/Z Color Video Camera,BRCZ700,6795,,,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,"<SPAN STYLE= """" >Sony BRC-Z700 3CMOS HD/SD Communications Camera<BR>AC Power Cord<BR>RS-422 Connector Plug<BR>RS-232C Cable (Min DIN 8-Pin)<BR>Operating Instructions<BR>1-Year Parts and Labor Warranty</SPAN>",1,1,SON-BRCZ700,8576
Sony Electronics Inc,Sony BRCH700 HD 1/3” type 3CCD P/T/Z Color Video Camera,BRCH700,8995,,,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,1,1,SON-BRCH700,8577
Sony Electronics Inc,Sony RMBR300 Remote Control Unit for the BRC-300 / H700 / Z700 / Z330,RMBR300,1575,,,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,,"<SPAN STYLE= """" >Sony RM-BR300 Joystick Remote Control Panel<BR>AC Adapter<BR>Power Cord<BR>8-Pin to 8-Pin DIN RS-232C Cable<BR>1-Year Limited Warranty</SPAN>",1,1,SON-RMBR300,8578
Prompter People,"Prompter People PRO15 Proline 15"" Teleprompter Kit",PRO-15,1799,,,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,"<SPAN STYLE= """" >Dimensions/Weight 30x15x18 inches, 12.5 lbs</SPAN>",###############################################################################################################################################################################################################################################################,1,185,PP-PRO-15,8579
"Aja Video Systems, Inc.",AJA Hi5 HD/SD SDI to HDMI Converter,Hi5,345,,,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,"<SPAN STYLE= """" >AJA HD/SD-SDI to HDMI Video and Audio Converter with DWP<BR>DWP-U-R1 Worldwide Power Supply for AJA Mini-Converters<BR>HDMI Cable (3.2 ft / 1 m)<BR>5-Year Limited Warranty</SPAN>",1,2,AJA-Hi5,8580
Porta Brace,Porta Brace CS-DV4U Compact HD Camera Case,CS-DV4U,219,,,###############################################################################################################################################################################################################################################################,"<SPAN STYLE= """" >Easy-open, single zip with zipper guard<BR><BR>Camera-cradle stabilizes camera<BR><BR>Thick padding<BR><BR>Soft frame<BR><BR>Non-skid bottom panel</SPAN>",###############################################################################################################################################################################################################################################################,"<SPAN STYLE= """" >Porta Brace CS-DV4 Mini-DV Camcorder Case (Signature Blue with Black String)<BR>HB-40 Shoulder Strap<BR>CS-B9 Stuff Sack (Black, Single Pack)<BR>White Balance Card<BR>Camera Cradle<BR>1-Year Warranty</SPAN>",1,21,PB-CS-DV4U,
Porta Brace,Porta Brace DVO-2R DV Organizer (Black/Red),DVO-2R,309,,,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,,1,21,PB-DVO-2R,
"Aja Video Systems, Inc.",AJA HA5 HDMI to HD/SD SDI Converter,HA5,345,,,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,,1,2,AJA-HA5,
"Aja Video Systems, Inc.","AJA HD10AVA A/D, HD/SD Converter",HD10AVA,695,,,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,,1,2,AJA-HD10AVA,
"Aja Video Systems, Inc.","AJA HD10MD3 HD Downconverter, 10-bit, HD-SDI/SDI to SDI, YPbPr/RGB/NTSC/PAL",HD10MD3,995,,,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,,1,2,AJA-HD10MD3,
"Aja Video Systems, Inc.",AJA HD10AMA HD/SD SDI 4-ch. Analog Audio Embedder/Disembedder,HD10AMA,795,,,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,,1,2,AJA-HD10AMA,
Sachtler,Sachtler 1262 System 12 SB ENG 2 CF,1262,6750,,,"<SPAN STYLE= """" >System 12 SB ENG 2 CF, consists of: DV 12 SB fluid head (#1205) + tripod ENG 2 CF (#5386) + spreader SP 100 (#7002) + cover ENG 2 (#9311)</SPAN>","<SPAN STYLE= """" >Durable carbon fiber construction with 16mm (0.63&quot;) tube diameter<BR>100mm / 4&quot; bowl base<BR>Rotary clamping system<BR>Double extension design<BR>Maximum height of 61&quot; (not including head)<BR></SPAN>","<SPAN STYLE= """" >Fluid head: DV 12 SB<BR><BR>Tripod: ENG 2 CF<BR><BR>Spreader: Ground spreader<BR><BR>Weight: 6,6 kg<BR>Payload: 1 &ndash; 14 kg<BR>Height range: 63 &ndash; 172 cm<BR>Head fitting: 100 mm<BR><BR>Transport length: 89 cm</SPAN>",,1,63,SAC-1262,
Sony Electronics Inc,"Sony PMW320K XDCAM EX 1/2""-type Shoulder-mount Camcorder with Lens Package",PMW320K,11536,,,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,,1,1,SON-PMW320K,
"Aja Video Systems, Inc.","AJA KONA 3G  2K / 3G / Dual-Link HD / HD / SD 10-bit PCIe Card, HDMI 1.4a output",KONA 3G,,,,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,,1,2,AJA-KONA 3G,
